File Name,Dimensions,File Size (MB),Aspect Ratio,Breeds,T Tokens Prompt,T Tokens Completition,T Tokens Total,V Tokens Prompt,V Tokens Completition,V Tokens Total
@KeyushTheStuntDog7.jpg,"(400, 174)",0.013427734375,2.2988505747126435,"Siberian Husky, Alaskan Malamute, Mixed Breed",195,14,209,281,159,440
@KeyushTheStuntDog9.jpg,"(400, 400)",0.0291614532470703,1.0,Error,48,1,49,281,12,293
@Theladyshortcake0.jpg,"(259, 194)",0.009657859802246,1.3350515463917525,Error,57,1,58,281,21,302
@Theladyshortcake1.jpg,"(1200, 630)",0.0764751434326171,1.9047619047619049,"American Pit Bull Terrier, Staffordshire Bull Terrier, American Bulldog",189,15,204,1131,153,1284
@Theladyshortcake10.jpg,"(168, 300)",0.009831428527832,0.56,"Labrador Retrievers, Golden Retrievers, German Shepherds",121,13,134,281,85,366
@Theladyshortcake11.jpg,"(201, 251)",0.0106611251831054,0.8007968127490039,Error,57,1,58,281,21,302
@Theladyshortcake12.jpg,"(290, 174)",0.0140600204467773,1.6666666666666667,Error,55,1,56,281,19,300
@Theladyshortcake13.jpg,"(736, 736)",0.0636529922485351,1.0,"American Pit Bull Terrier, Staffordshire Bull Terrier, American Bully",227,15,242,791,191,982
@Theladyshortcake2.jpg,"(1109, 623)",0.0743036270141601,1.7800963081861958,"American Bulldog, American Pit Bull Terrier, Staffordshire Bull Terrier",204,15,219,1131,168,1299
@Theladyshortcake3.jpg,"(1500, 1000)",0.1229209899902343,1.5,"American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier",135,17,152,1131,99,1230
@Theladyshortcake4.jpg,"(201, 251)",0.0105524063110351,0.8007968127490039,Error,59,1,60,281,23,304
@Theladyshortcake5.jpg,"(201, 251)",0.0158596038818359,0.8007968127490039,Error,46,1,47,281,10,291
@Theladyshortcake6.jpg,"(225, 225)",0.0104732513427734,1.0,Error,50,1,51,281,14,295
@Theladyshortcake7.jpg,"(225, 225)",0.0093946456909179,1.0,Error,49,1,50,281,13,294
@Theladyshortcake8.jpg,"(201, 251)",0.0086784362792968,0.8007968127490039,"American Pit Bull Terrier, Staffordshire Bull Terrier, American Bulldog",194,15,209,281,158,439
@Theladyshortcake9.jpg,"(225, 225)",0.0100173950195312,1.0,Error,61,1,62,281,25,306
@_gsdbear1.jpg,"(1080, 1080)",0.1042318344116211,1.0,"German Shepherd, Belgian Malinois, East European Shepherd",202,10,212,791,166,957
@_gsdbear10.jpg,"(225, 225)",0.0063533782958984,1.0,"German Shepherd, Belgian Malinois, Dutch Shepherd",233,9,242,281,197,478
@_gsdbear11.jpg,"(201, 251)",0.0071840286254882,0.8007968127490039,Error,50,1,51,281,14,295
@_gsdbear2.jpg,"(278, 181)",0.0111598968505859,1.5359116022099448,Error,53,1,54,281,17,298
@_gsdbear3.jpg,"(960, 547)",0.0513486862182617,1.7550274223034734,"German Shepherd, Belgian Malinois, King Shepherd",212,9,221,791,176,967
@_gsdbear4.jpg,"(168, 300)",0.0139112472534179,0.56,"German Shepherd, Belgian Malinois, King Shepherd",132,9,141,281,96,377
@_gsdbear5.jpg,"(168, 300)",0.013045310974121,0.56,Error,47,1,48,281,11,292
@_gsdbear6.jpg,"(640, 800)",0.151738166809082,0.8,"German Shepherd, Belgian Malinois, King Shepherd",211,9,220,791,175,966
@_gsdbear7.jpg,"(215, 234)",0.0071401596069335,0.9188034188034188,"German Shepherd, Belgian Malinois, Dutch Shepherd",213,9,222,281,177,458
@_gsdbear8.jpg,"(576, 1024)",0.0754508972167968,0.5625,"German Shepherd, Belgian Malinois, Tervuren",181,10,191,791,145,936
@_gsdbear9.jpg,"(540, 960)",0.0568695068359375,0.5625,"German Shepherd, Belgian Malinois, Belgian Tervuren, Dutch Shepherd",173,14,187,791,137,928
@aspenthemountainpup0.jpg,"(400, 500)",0.0365686416625976,0.8,"Golden Retriever, Nova Scotia Duck Tolling Retriever, Labrador Retriever",189,18,207,281,153,434
@aspenthemountainpup10.jpg,"(925, 618)",0.0898914337158203,1.4967637540453074,"Golden Retriever, Labrador Retriever, Nova Scotia Duck Tolling Retriever, Flat-Coated Retriever",250,25,275,791,214,1005
@aspenthemountainpup11.jpg,"(200, 300)",0.0119123458862304,0.6666666666666666,Error,49,1,50,281,13,294
@aspenthemountainpup2.jpg,"(480, 480)",0.0453996658325195,1.0,Error,48,1,49,281,12,293
@aspenthemountainpup3.jpg,"(400, 500)",0.0474939346313476,0.8,"Golden Retriever, Labrador Retriever, Nova Scotia Duck Tolling Retriever, Flat-Coated Retriever",154,25,179,281,118,399
@aspenthemountainpup5.jpg,"(400, 600)",0.0565519332885742,0.6666666666666666,Error,57,1,58,451,21,472
@aspenthemountainpup6.jpg,"(556, 417)",0.073465347290039,1.3333333333333333,"Golden Retriever, Labrador Retriever, Flat-Coated Retriever",195,16,211,451,159,610
@aspenthemountainpup7.jpg,"(1050, 509)",0.159027099609375,2.06286836935167,"Golden Retriever, Labrador Retriever, Flat-Coated Retriever",255,16,271,621,219,840
@aspenthemountainpup8.jpg,"(1080, 1350)",0.1732110977172851,0.8,Error,48,1,49,791,12,803
@aspenthemountainpup9.jpg,"(925, 618)",0.1283941268920898,1.4967637540453074,"Golden Retriever, Labrador Retriever, Nova Scotia Duck Tolling Retriever",243,18,261,791,207,998
@balooitsme0.jpg,"(1080, 1080)",0.0991706848144531,1.0,"Toy Poodle, Miniature Poodle, Bichon Frise, Cavalier King Charles Spaniel, Poodle, Maltese",274,28,302,791,238,1029
@balooitsme1.jpg,"(1706, 960)",0.1224927902221679,1.7770833333333331,"Poodle, Labradoodle, Goldendoodle",190,10,200,1131,154,1285
@balooitsme10.jpg,"(1200, 675)",0.1036911010742187,1.7777777777777777,Error,76,1,77,1131,40,1171
@balooitsme11.jpg,"(500, 500)",0.0516157150268554,1.0,Error,71,1,72,281,35,316
@balooitsme2.jpg,"(1200, 740)",0.0773887634277343,1.6216216216216215,"Toy Poodle, Miniature Goldendoodle, Bichon Frise",195,15,210,1131,159,1290
@balooitsme3.jpg,"(1200, 675)",0.1136054992675781,1.7777777777777777,"Toy Poodle, Miniature Poodle, Poodle Mix, Labradoodle, Goldendoodle",246,20,266,1131,210,1341
@balooitsme6.jpg,"(990, 1251)",0.2102460861206054,0.7913669064748201,"Toy Poodle, Miniature Goldendoodle, Labradoodle",281,13,294,791,245,1036
@balooitsme7.jpg,"(990, 996)",0.1204137802124023,0.993975903614458,"Toy Poodle, Bichon Frise, Miniature Goldendoodle",214,15,229,791,178,969
@balooitsme9.jpg,"(990, 1219)",0.0938301086425781,0.8121410992616899,"Toy Poodle, Miniature Poodle, Cavalier King Charles Spaniel",217,15,232,791,181,972
@barkleysircharles0.jpg,"(201, 251)",0.0109033584594726,0.8007968127490039,"French Bulldog, Boston Terrier, Pug",195,10,205,281,159,440
@barkleysircharles1.jpg,"(201, 251)",0.0093860626220703,0.8007968127490039,"French Bulldog, Boston Terrier, Pug",154,10,164,281,118,399
@barkleysircharles10.jpg,"(286, 176)",0.0120201110839843,1.625,Error,48,1,49,281,12,293
@barkleysircharles11.jpg,"(168, 300)",0.0100860595703125,0.56,"French Bulldog, Boston Terrier, Pug, English Bulldog",231,14,245,281,195,476
@barkleysircharles2.jpg,"(226, 223)",0.009256362915039,1.0134529147982063,"French Bulldog, English Bulldog, Boston Terrier",193,11,204,281,157,438
@barkleysircharles3.jpg,"(210, 240)",0.0111904144287109,0.875,"French Bulldog, Boston Terrier, Pug",168,10,178,281,132,413
@barkleysircharles4.jpg,"(209, 241)",0.0082254409790039,0.8672199170124482,"French Bulldog, Boston Terrier, Pug",161,10,171,281,125,406
@barkleysircharles5.jpg,"(1080, 1144)",0.189091682434082,0.944055944055944,French Bulldog,101,3,104,791,65,856
@barkleysircharles6.jpg,"(224, 224)",0.0070095062255859,1.0,Error,57,1,58,281,21,302
@barkleysircharles7.jpg,"(225, 225)",0.0134963989257812,1.0,"French Bulldog, Boston Terrier, Pug",210,10,220,281,174,455
@barkleysircharles8.jpg,"(320, 336)",0.0204448699951171,0.9523809523809524,"French Bulldog, Boston Terrier, Pug",218,10,228,281,182,463
@barkleysircharles9.jpg,"(207, 244)",0.013381004333496,0.8483606557377049,Error,55,1,56,281,19,300
@bluestaffyboulder0.jpg,"(640, 640)",0.0886974334716796,1.0,"Staffordshire Bull Terrier, American Staffordshire Terrier, American Pit Bull Terrier",130,18,148,791,94,885
@bluestaffyboulder1.jpg,"(1280, 720)",0.1953258514404297,1.7777777777777777,"American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier",261,17,278,1131,225,1356
@bluestaffyboulder10.jpg,"(640, 797)",0.0914373397827148,0.8030112923462986,Error,43,1,44,791,7,798
@bluestaffyboulder11.jpg,"(1300, 956)",0.1127691268920898,1.3598326359832635,"Staffordshire Bull Terrier, American Pit Bull Terrier, American Staffordshire Terrier",197,18,215,1131,161,1292
@bluestaffyboulder12.jpg,"(300, 168)",0.0146198272705078,1.7857142857142858,Error,48,1,49,281,12,293
@bluestaffyboulder2.jpg,"(201, 251)",0.0140600204467773,0.8007968127490039,Error,57,1,58,281,21,302
@bluestaffyboulder3.jpg,"(194, 259)",0.0138530731201171,0.749034749034749,Error,52,1,53,281,16,297
@bluestaffyboulder4.jpg,"(640, 800)",0.1442184448242187,0.8,"Staffordshire Bull Terrier, American Staffordshire Terrier, Bull Terrier",176,16,192,791,140,931
@bluestaffyboulder5.jpg,"(480, 360)",0.0453681945800781,1.3333333333333333,Error,55,1,56,281,19,300
@bluestaffyboulder6.jpg,"(225, 225)",0.0130901336669921,1.0,"Staffordshire Bull Terrier, American Pit Bull Terrier, American Bully",199,16,215,281,163,444
@bluestaffyboulder7.jpg,"(800, 949)",0.1412391662597656,0.8429926238145417,"Staffordshire Bull Terrier, American Staffordshire Terrier, American Pit Bull Terrier",218,18,236,791,182,973
@bluestaffyboulder8.jpg,"(236, 295)",0.0154399871826171,0.8,Error,55,1,56,281,19,300
@bluestaffyboulder9.jpg,"(201, 251)",0.0104122161865234,0.8007968127490039,Error,56,1,57,281,20,301
@carterchowchow0.jpg,"(1638, 2048)",0.433990478515625,0.7998046875,"Pomeranian, Chow Chow, Samoyed",191,10,201,791,155,946
@carterchowchow1.jpg,"(168, 300)",0.0083951950073242,0.56,Error,53,1,54,281,17,298
@carterchowchow10.jpg,"(600, 600)",0.042302131652832,1.0,"Chow Chow, Akita, Eurasier",138,9,147,791,102,893
@carterchowchow11.jpg,"(1280, 720)",0.1043739318847656,1.7777777777777777,"Chow Chow, Eurasier, Keeshond",268,10,278,1131,232,1363
@carterchowchow2.jpg,"(640, 1138)",0.0554914474487304,0.562390158172232,"Chow Chow, Samoyed, Eurasier",197,10,207,1131,161,1292
@carterchowchow3.jpg,"(1280, 720)",0.0711164474487304,1.7777777777777777,Error,83,1,84,1131,47,1178
@carterchowchow4.jpg,"(1638, 2048)",0.5419836044311523,0.7998046875,"Chow Chow, Samoyed, American Eskimo Dog",214,12,226,791,178,969
@carterchowchow5.jpg,"(1280, 720)",0.0886850357055664,1.7777777777777777,"Chow Chow, Samoyed, Eurasier",261,10,271,1131,225,1356
@carterchowchow6.jpg,"(1638, 2048)",0.6123256683349609,0.7998046875,"Pomeranian, Chow Chow, Keeshond",211,10,221,791,175,966
@carterchowchow7.jpg,"(1280, 720)",0.0922374725341796,1.7777777777777777,"Chow Chow, Eurasier, Keeshond",222,10,232,1131,186,1317
@carterchowchow8.jpg,"(201, 251)",0.0116596221923828,0.8007968127490039,Error,45,1,46,281,9,290
@carterchowchow9.jpg,"(300, 168)",0.0080690383911132,1.7857142857142858,Error,126,1,127,281,90,371
@crusoe_dachshund0.jpg,"(900, 900)",0.0983600616455078,1.0,"Dachshund, Miniature Pinscher, Beagle",176,12,188,791,140,931
@crusoe_dachshund1.jpg,"(720, 720)",0.0591335296630859,1.0,Dachshunds,142,4,146,791,106,897
@crusoe_dachshund11.jpg,"(225, 225)",0.0104961395263671,1.0,"Dachshunds, Miniature Pinscher, Beagle, Basset Hound",250,17,267,281,214,495
@crusoe_dachshund2.jpg,"(225, 225)",0.0122003555297851,1.0,"Dachshund, Miniature Pinscher, Basset Hound",195,14,209,281,159,440
@crusoe_dachshund3.jpg,"(828, 824)",0.1100320816040039,1.0048543689320388,"Dachshund, Beagle, Miniature Pinscher",187,12,199,791,151,942
@crusoe_dachshund4.jpg,"(720, 1280)",0.081644058227539,0.5625,"Dachshund, Basset Hound, Miniature Pinscher",245,14,259,1131,209,1340
@crusoe_dachshund5.jpg,"(1200, 1200)",0.2075786590576172,1.0,"Dachshund, Miniature Pinscher, Basset Hound",246,14,260,791,210,1001
@crusoe_dachshund6.jpg,"(225, 224)",0.0118036270141601,1.0044642857142858,Error,55,1,56,281,19,300
@crusoe_dachshund7.jpg,"(225, 225)",0.0154190063476562,1.0,Dachshunds,147,4,151,281,111,392
@crusoe_dachshund8.jpg,"(405, 720)",0.0393848419189453,0.5625,"Dachshund, Miniature Pinscher, Beagle",213,12,225,451,177,628
@crusoe_dachshund9.jpg,"(1048, 1048)",0.1872835159301757,1.0,Error,48,1,49,791,12,803
@dailydougie0.jpg,"(640, 640)",0.0811119079589843,1.0,"Shih Tzu, Lhasa Apso, Pekingese",213,14,227,791,177,968
@dailydougie1.jpg,"(225, 225)",0.0086002349853515,1.0,"Shih Tzu, Lhasa Apso, Tibetan Terrier",213,14,227,281,177,458
@dailydougie10.jpg,"(640, 640)",0.075596809387207,1.0,"Shih Tzu, Lhasa Apso, Pekingese",213,14,227,791,177,968
@dailydougie11.jpg,"(225, 225)",0.0128583908081054,1.0,Error,57,1,58,281,21,302
@dailydougie2.jpg,"(640, 640)",0.0763435363769531,1.0,"Shih Tzu, Pekingese, Lhasa Apso",243,14,257,791,207,998
@dailydougie3.jpg,"(640, 640)",0.0654401779174804,1.0,"Shih Tzu, Lhasa Apso, Pekingese, Maltese",224,18,242,791,188,979
@dailydougie4.jpg,"(1190, 1038)",0.1277446746826172,1.1464354527938343,"Shih Tzu, Lhasa Apso, Pekingese",209,14,223,791,173,964
@dailydougie5.jpg,"(168, 300)",0.0076255798339843,0.56,Error,48,1,49,281,12,293
@dailydougie6.jpg,"(225, 225)",0.0103349685668945,1.0,"Pekingese, Shih Tzu, Lhasa Apso",203,14,217,281,167,448
@dailydougie7.jpg,"(225, 225)",0.0093088150024414,1.0,"Pekingese, Shih Tzu, Brussels Griffon",215,12,227,281,179,460
@dailydougie8.jpg,"(1080, 1080)",0.1258783340454101,1.0,"Shih Tzu, Lhasa Apso, Pekingese",249,14,263,791,213,1004
@dailydougie9.jpg,"(900, 900)",0.1128597259521484,1.0,"Shih Tzu, Lhasa Apso, Pekingese",118,14,132,791,82,873
@dogwithsign0.jpg,"(1080, 1080)",0.2811059951782226,1.0,"Yorkshire Terrier (Yorkie), Silky Terrier, Australian Terrier",248,16,264,791,212,1003
@dogwithsign1.jpg,"(1280, 720)",0.1294736862182617,1.7777777777777777,Error,56,1,57,1131,20,1151
@dogwithsign10.jpg,"(700, 875)",0.0864076614379882,0.8,"Dachshund, Schnauzer, Yorkshire Terrier",192,12,204,791,156,947
@dogwithsign11.jpg,"(700, 875)",0.132425308227539,0.8,"Yorkshire Terrier, Silky Terrier, Australian Terrier",212,13,225,791,176,967
@dogwithsign2.jpg,"(800, 450)",0.0448894500732421,1.7777777777777777,"Yorkshire Terrier, Dachshund, Schnauzer",277,13,290,451,241,692
@dogwithsign4.jpg,"(700, 875)",0.1936225891113281,0.8,"Cavalier King Charles Spaniel mix, Yorkshire Terrier mix, Dachshund mix",213,19,232,791,177,968
@dogwithsign5.jpg,"(700, 875)",0.192911148071289,0.8,Error,48,1,49,791,12,803
@dogwithsign6.jpg,"(1456, 1456)",0.2319602966308593,1.0,"Yorkshire Terrier, Silky Terrier, Schnauzer Mix",223,14,237,791,187,978
@dogwithsign7.jpg,"(700, 875)",0.1276636123657226,0.8,"Yorkshire Terrier, Silky Terrier, Dachshund/Terrier Mix",194,18,212,791,158,949
@dogwithsign8.jpg,"(700, 875)",0.1424570083618164,0.8,"Yorkshire Terrier (Yorkie), Dachshund, Schnauzer",207,16,223,791,171,962
@dogwithsign9.jpg,"(1200, 630)",0.1085529327392578,1.9047619047619049,"Yorkshire Terrier, Schnauzer, Dachshund",256,13,269,1131,220,1351
@eddie_jackrussell0.jpg,"(576, 700)",0.0519561767578125,0.8228571428571428,"Jack Russell Terrier, Parson Russell Terrier, Rat Terrier",201,14,215,791,165,956
@eddie_jackrussell1.jpg,"(1400, 700)",0.0991535186767578,2.0,"Jack Russell Terrier, Parson Russell Terrier, Rat Terrier",243,14,257,1131,207,1338
@eddie_jackrussell10.jpg,"(300, 168)",0.0070819854736328,1.7857142857142858,"Jack Russell Terrier, Rat Terrier, Parson Russell Terrier",270,14,284,281,234,515
@eddie_jackrussell11.jpg,"(720, 900)",0.0417652130126953,0.8,"Jack Russell Terrier, Parson Russell Terrier, Rat Terrier",234,14,248,791,198,989
@eddie_jackrussell12.jpg,"(399, 299)",0.0206785202026367,1.334448160535117,"Jack Russell Terrier, Parson Russell Terrier, Rat Terrier",215,14,229,281,179,460
@eddie_jackrussell13.jpg,"(594, 594)",0.0395717620849609,1.0,Error,47,1,48,791,11,802
@eddie_jackrussell2.jpg,"(220, 282)",0.0159740447998046,0.7801418439716312,"Jack Russell Terrier, Parson Russell Terrier, Rat Terrier, Fox Terrier (Smooth), Fox Terrier (Wire)",217,27,244,281,181,462
@eddie_jackrussell3.jpg,"(272, 186)",0.0079717636108398,1.4623655913978495,"Jack Russell Terrier, Rat Terrier, Beagle",196,11,207,281,160,441
@eddie_jackrussell4.jpg,"(480, 360)",0.0200042724609375,1.3333333333333333,Error,58,1,59,281,22,303
@eddie_jackrussell5.jpg,"(1280, 720)",0.0878915786743164,1.7777777777777777,"Jack Russell Terrier, Beagle, Fox Terrier",197,11,208,1131,161,1292
@eddie_jackrussell6.jpg,"(265, 341)",0.0192480087280273,0.7771260997067448,"Jack Russell Terrier, Beagle, Rat Terrier",231,11,242,281,195,476
@eddie_jackrussell8.jpg,"(900, 900)",0.0508327484130859,1.0,"Jack Russell Terrier, Parson Russell Terrier, Fox Terrier (Smooth), Rat Terrier",203,20,223,791,167,958
@eddie_jackrussell9.jpg,"(512, 384)",0.0228939056396484,1.3333333333333333,"Jack Russell Terrier, Parson Russell Terrier, Beagle",186,13,199,281,150,431
@emmatheminifrenchie0.jpg,"(1200, 1200)",0.2280693054199218,1.0,Error,47,1,48,791,11,802
@emmatheminifrenchie1.jpg,"(800, 800)",0.0953779220581054,1.0,"French Bulldog, Boston Terrier, Pug, Boxer",265,13,278,791,229,1020
@emmatheminifrenchie10.jpg,"(750, 1334)",0.1362218856811523,0.5622188905547226,"French Bulldog, Boston Terrier, Pug",145,10,155,1131,109,1240
@emmatheminifrenchie11.jpg,"(400, 400)",0.0235261917114257,1.0,"French Bulldog, Boston Terrier, Pug Mix",233,11,244,281,197,478
@emmatheminifrenchie12.jpg,"(2315, 2315)",0.6149463653564453,1.0,Error,43,1,44,791,7,798
@emmatheminifrenchie2.jpg,"(750, 535)",0.0746421813964843,1.4018691588785046,"English Bulldog, French Bulldog, Boston Terrier",161,11,172,791,125,916
@emmatheminifrenchie3.jpg,"(768, 960)",0.0776653289794921,0.8,"French Bulldog, Boston Terrier, Pug, English Bulldog",215,14,229,791,179,970
@emmatheminifrenchie4.jpg,"(2048, 2048)",0.2888059616088867,1.0,"French Bulldog, Boston Terrier, English Bulldog",211,11,222,791,175,966
@emmatheminifrenchie5.jpg,"(768, 960)",0.090066909790039,0.8,"French Bulldog, Boston Terrier, Pug",190,10,200,791,154,945
@emmatheminifrenchie6.jpg,"(600, 600)",0.0499210357666015,1.0,"French Bulldog, Boston Terrier, Pug, English Bulldog",226,14,240,791,190,981
@emmatheminifrenchie7.jpg,"(2048, 1536)",0.4789705276489258,1.3333333333333333,"French Bulldog, Boston Terrier, Pug",202,10,212,791,166,957
@emmatheminifrenchie8.jpg,"(201, 251)",0.0093450546264648,0.8007968127490039,Error,46,1,47,281,10,291
@emmatheminifrenchie9.jpg,"(768, 768)",0.0941925048828125,1.0,"French Bulldog, Boston Terrier, Pug",123,10,133,791,87,878
@frankietothemoon1.jpg,"(686, 386)",0.0347719192504882,1.7772020725388602,"Australian Shepherd, Border Collie, Bernese Mountain Dog",170,11,181,451,134,585
@frankietothemoon10.jpg,"(480, 360)",0.0354738235473632,1.3333333333333333,"Australian Shepherd, Border Collie, Shetland Sheepdog",140,12,152,281,104,385
@frankietothemoon12.jpg,"(168, 300)",0.0086660385131835,0.56,Error,49,1,50,281,13,294
@frankietothemoon13.jpg,"(259, 194)",0.0115728378295898,1.3350515463917525,Error,54,1,55,281,18,299
@frankietothemoon2.jpg,"(168, 300)",0.0080852508544921,0.56,Error,54,1,55,281,18,299
@frankietothemoon3.jpg,"(259, 194)",0.0131540298461914,1.3350515463917525,Error,48,1,49,281,12,293
@frankietothemoon4.jpg,"(320, 180)",0.0107440948486328,1.7777777777777777,Error,62,1,63,281,26,307
@frankietothemoon5.jpg,"(259, 194)",0.009164810180664,1.3350515463917525,Error,71,1,72,281,35,316
@frankietothemoon6.jpg,"(553, 91)",0.0132608413696289,6.076923076923077,Error,46,1,47,451,10,461
@frankietothemoon7.jpg,"(201, 251)",0.0092697143554687,0.8007968127490039,"Australian Shepherd, Border Collies, English Shepherds",172,11,183,281,136,417
@frankietothemoon8.jpg,"(900, 900)",0.0714406967163086,1.0,"Australian Shepherd, Border Collie, Miniature American Shepherd",201,11,212,791,165,956
@frankietothemoon9.jpg,"(1280, 720)",0.0733890533447265,1.7777777777777777,"Australian Shepherd, Border Collie, Shetland Sheepdog",190,12,202,1131,154,1285
@goldenunicornrae0.jpg,"(300, 168)",0.0096435546875,1.7857142857142858,"Golden Retriever, Shetland Sheepdog, Australian Shepherd",184,13,197,281,148,429
@goldenunicornrae1.jpg,"(237, 213)",0.0166997909545898,1.1126760563380282,"Golden Retriever, Labrador Retriever, Great Pyrenees",212,14,226,281,176,457
@goldenunicornrae10.jpg,"(201, 251)",0.0100812911987304,0.8007968127490039,Error,57,1,58,281,21,302
@goldenunicornrae11.jpg,"(310, 163)",0.0100612640380859,1.901840490797546,"Poodle, Beagle",207,5,212,281,171,452
@goldenunicornrae12.jpg,"(201, 251)",0.0089521408081054,0.8007968127490039,Error,48,1,49,281,12,293
@goldenunicornrae2.jpg,"(225, 225)",0.0130081176757812,1.0,Error,128,1,129,281,92,373
@goldenunicornrae3.jpg,"(225, 225)",0.0154571533203125,1.0,"Golden Retriever, Labrador Retriever, Great Pyrenees",188,14,202,281,152,433
@goldenunicornrae4.jpg,"(300, 168)",0.0141506195068359,1.7857142857142858,Error,57,1,58,281,21,302
@goldenunicornrae5.jpg,"(280, 180)",0.0102386474609375,1.5555555555555556,Error,47,1,48,281,11,292
@goldenunicornrae6.jpg,"(225, 225)",0.0071134567260742,1.0,"Golden Retriever, Chow Chow, Samoyed, American Eskimo Dog",220,16,236,281,184,465
@goldenunicornrae8.jpg,"(225, 225)",0.0078620910644531,1.0,Error,57,1,58,281,21,302
@goldenunicornrae9.jpg,"(580, 372)",0.0335235595703125,1.5591397849462365,Error,96,1,97,451,60,511
@good.boy.ollie0.jpg,"(225, 225)",0.007120132446289,1.0,"Pug, Beagle, Boxer",153,8,161,281,117,398
@good.boy.ollie1.jpg,"(768, 1024)",0.1519422531127929,0.75,"Labrador Retriever, Chesapeake Bay Retriever, Flat-Coated Retriever",237,19,256,791,201,992
@good.boy.ollie10.jpg,"(300, 373)",0.0234041213989257,0.8042895442359249,"Labrador Retriever, Chesapeake Bay Retriever, Flat-Coated Retriever, Vizsla",190,23,213,281,154,435
@good.boy.ollie11.jpg,"(1200, 1500)",0.2390756607055664,0.8,"Labrador Retriever, Chesapeake Bay Retriever, Vizsla",198,16,214,791,162,953
@good.boy.ollie2.jpg,"(300, 300)",0.0117969512939453,1.0,"Labrador Retriever, German Shorthaired Pointer, Vizsla",126,15,141,281,90,371
@good.boy.ollie3.jpg,"(1200, 1500)",0.2343759536743164,0.8,"Labrador Retriever, Chesapeake Bay Retriever, Flat-Coated Retriever",174,19,193,791,138,929
@good.boy.ollie4.jpg,"(518, 695)",0.0602350234985351,0.7453237410071942,"Labrador Retriever, Golden Retriever, Flat-Coated Retriever",270,17,287,791,234,1025
