Username,File Name,Breeds,T Tokens Prompt,T Tokens Completition,T Tokens Total,V Tokens Prompt,V Tokens Completition,V Tokens Total
@dailydougie,"['@dailydougie0.jpg', '@dailydougie1.jpg', '@dailydougie10.jpg', '@dailydougie11.jpg', '@dailydougie2.jpg', '@dailydougie3.jpg', '@dailydougie4.jpg', '@dailydougie5.jpg', '@dailydougie6.jpg', '@dailydougie7.jpg', '@dailydougie8.jpg', '@dailydougie9.jpg']","Shih Tzu, Lhasa Apso, Pekingese, Maltese",276.0,18.0,294.0,1046,240,1286
@dogwithsign,"['@dogwithsign0.jpg', '@dogwithsign1.jpg', '@dogwithsign10.jpg', '@dogwithsign11.jpg', '@dogwithsign2.jpg', '@dogwithsign4.jpg', '@dogwithsign5.jpg', '@dogwithsign6.jpg', '@dogwithsign7.jpg', '@dogwithsign8.jpg', '@dogwithsign9.jpg']","Yorkshire Terrier, Silky Terrier, Dachshund Mix",269.0,15.0,284.0,961,233,1194
@eddie_jackrussell,"['@eddie_jackrussell0.jpg', '@eddie_jackrussell1.jpg', '@eddie_jackrussell10.jpg', '@eddie_jackrussell11.jpg', '@eddie_jackrussell12.jpg', '@eddie_jackrussell13.jpg', '@eddie_jackrussell2.jpg', '@eddie_jackrussell3.jpg', '@eddie_jackrussell4.jpg', '@eddie_jackrussell5.jpg', '@eddie_jackrussell6.jpg', '@eddie_jackrussell8.jpg', '@eddie_jackrussell9.jpg']","Jack Russell Terrier, Parson Russell Terrier, Rat Terrier, Fox Terrier",229.0,18.0,247.0,1131,193,1324
@emmatheminifrenchie,"['@emmatheminifrenchie0.jpg', '@emmatheminifrenchie1.jpg', '@emmatheminifrenchie10.jpg', '@emmatheminifrenchie11.jpg', '@emmatheminifrenchie12.jpg', '@emmatheminifrenchie2.jpg', '@emmatheminifrenchie3.jpg', '@emmatheminifrenchie4.jpg', '@emmatheminifrenchie5.jpg', '@emmatheminifrenchie6.jpg', '@emmatheminifrenchie7.jpg', '@emmatheminifrenchie8.jpg', '@emmatheminifrenchie9.jpg']",French Bulldog,153.0,3.0,156.0,1131,117,1248
@frankietothemoon,"['@frankietothemoon1.jpg', '@frankietothemoon10.jpg', '@frankietothemoon12.jpg', '@frankietothemoon13.jpg', '@frankietothemoon2.jpg', '@frankietothemoon3.jpg', '@frankietothemoon4.jpg', '@frankietothemoon5.jpg', '@frankietothemoon6.jpg', '@frankietothemoon7.jpg', '@frankietothemoon8.jpg', '@frankietothemoon9.jpg']","Australian Shepherd, Border Collie, Miniature American Shepherd",199.0,11.0,210.0,1046,163,1209
@goldenunicornrae,"['@goldenunicornrae0.jpg', '@goldenunicornrae1.jpg', '@goldenunicornrae10.jpg', '@goldenunicornrae11.jpg', '@goldenunicornrae12.jpg', '@goldenunicornrae2.jpg', '@goldenunicornrae3.jpg', '@goldenunicornrae4.jpg', '@goldenunicornrae5.jpg', '@goldenunicornrae6.jpg', '@goldenunicornrae8.jpg', '@goldenunicornrae9.jpg']","Golden Retriever, Chow Chow, Akita",261.0,10.0,271.0,1046,225,1271
@good.boy.ollie,"['@good.boy.ollie0.jpg', '@good.boy.ollie1.jpg', '@good.boy.ollie10.jpg', '@good.boy.ollie11.jpg', '@good.boy.ollie2.jpg', '@good.boy.ollie3.jpg', '@good.boy.ollie4.jpg', '@good.boy.ollie5.jpg', '@good.boy.ollie6.jpg', '@good.boy.ollie7.jpg', '@good.boy.ollie9.jpg']","Chocolate Labrador Retriever, Labrador Retriever",154.0,10.0,164.0,961,118,1079
@harlso,"['@harlso0.jpg', '@harlso1.jpg', '@harlso10.jpg', '@harlso11.jpg', '@harlso12.jpg', '@harlso13.jpg', '@harlso14.jpg', '@harlso3.jpg', '@harlso4.jpg', '@harlso5.jpg', '@harlso6.jpg', '@harlso7.jpg', '@harlso8.jpg', '@harlso9.jpg']",Dachshund,120.0,4.0,124.0,1216,84,1300
@henrythecoloradodog,"['@henrythecoloradodog0.jpg', '@henrythecoloradodog1.jpg', '@henrythecoloradodog10.jpg', '@henrythecoloradodog11.jpg', '@henrythecoloradodog12.jpg', '@henrythecoloradodog13.jpg', '@henrythecoloradodog2.jpg', '@henrythecoloradodog4.jpg', '@henrythecoloradodog5.jpg', '@henrythecoloradodog6.jpg', '@henrythecoloradodog7.jpg', '@henrythecoloradodog8.jpg', '@henrythecoloradodog9.jpg']","American Staffordshire Terrier, Boxer, Beagle",222.0,11.0,233.0,1131,186,1317
@hi_im_chewie,"['@hi_im_chewie0.jpg', '@hi_im_chewie1.jpg', '@hi_im_chewie10.jpg', '@hi_im_chewie11.jpg', '@hi_im_chewie12.jpg', '@hi_im_chewie2.jpg', '@hi_im_chewie3.jpg', '@hi_im_chewie4.jpg', '@hi_im_chewie5.jpg', '@hi_im_chewie6.jpg', '@hi_im_chewie7.jpg', '@hi_im_chewie8.jpg', '@hi_im_chewie9.jpg']","Pomeranian, Japanese Spitz, American Eskimo Dog (Miniature)",253.0,16.0,269.0,1131,217,1348
@itsdougthepug,"['@itsdougthepug0.jpg', '@itsdougthepug1.jpg', '@itsdougthepug11.jpg', '@itsdougthepug2.jpg', '@itsdougthepug3.jpg', '@itsdougthepug4.jpg', '@itsdougthepug5.jpg', '@itsdougthepug6.jpg', '@itsdougthepug7.jpg', '@itsdougthepug8.jpg', '@itsdougthepug9.jpg']",Pug,102.0,2.0,104.0,961,66,1027
@izzythe.frenchie,"['@izzythe.frenchie0.jpg', '@izzythe.frenchie1.jpg', '@izzythe.frenchie10.jpg', '@izzythe.frenchie2.jpg', '@izzythe.frenchie3.jpg', '@izzythe.frenchie4.jpg', '@izzythe.frenchie6.jpg', '@izzythe.frenchie7.jpg', '@izzythe.frenchie8.jpg']",French Bulldog,178.0,3.0,181.0,791,142,933
@jackson_the_dalmatian,"['@jackson_the_dalmatian0.jpg', '@jackson_the_dalmatian1.jpg', '@jackson_the_dalmatian10.jpg', '@jackson_the_dalmatian11.jpg', '@jackson_the_dalmatian2.jpg', '@jackson_the_dalmatian3.jpg', '@jackson_the_dalmatian4.jpg', '@jackson_the_dalmatian5.jpg', '@jackson_the_dalmatian6.jpg', '@jackson_the_dalmatian7.jpg', '@jackson_the_dalmatian8.jpg', '@jackson_the_dalmatian9.jpg']",Dalmatians,101.0,4.0,105.0,1046,65,1111
@jiffpom,"['@jiffpom0.jpg', '@jiffpom1.jpg', '@jiffpom10.jpg', '@jiffpom11.jpg', '@jiffpom2.jpg', '@jiffpom3.jpg', '@jiffpom4.jpg', '@jiffpom5.jpg', '@jiffpom6.jpg', '@jiffpom7.jpg', '@jiffpom8.jpg', '@jiffpom9.jpg']","Pomeranian, German Spitz (Klein), American Eskimo Dog (Toy)",247.0,18.0,265.0,1046,211,1257
@lecorgi,"['@lecorgi1.jpg', '@lecorgi10.jpg', '@lecorgi11.jpg', '@lecorgi12.jpg', '@lecorgi2.jpg', '@lecorgi3.jpg', '@lecorgi4.jpg', '@lecorgi5.jpg', '@lecorgi6.jpg', '@lecorgi7.jpg', '@lecorgi8.jpg', '@lecorgi9.jpg']","Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",272.0,20.0,292.0,1046,236,1282
@loki_the_wolfdog,"['@loki_the_wolfdog0.jpg', '@loki_the_wolfdog1.jpg', '@loki_the_wolfdog10.jpg', '@loki_the_wolfdog11.jpg', '@loki_the_wolfdog12.jpg', '@loki_the_wolfdog13.jpg', '@loki_the_wolfdog2.jpg', '@loki_the_wolfdog4.jpg', '@loki_the_wolfdog5.jpg', '@loki_the_wolfdog6.jpg', '@loki_the_wolfdog7.jpg', '@loki_the_wolfdog8.jpg', '@loki_the_wolfdog9.jpg']","Alaskan Malamute, Siberian Husky, Timber Wolf Hybrid",270.0,14.0,284.0,1131,234,1365
@madmax_fluffyroad,"['@madmax_fluffyroad0.jpg', '@madmax_fluffyroad1.jpg', '@madmax_fluffyroad11.jpg', '@madmax_fluffyroad12.jpg', '@madmax_fluffyroad2.jpg', '@madmax_fluffyroad3.jpg', '@madmax_fluffyroad4.jpg', '@madmax_fluffyroad5.jpg', '@madmax_fluffyroad6.jpg', '@madmax_fluffyroad7.jpg', '@madmax_fluffyroad8.jpg', '@madmax_fluffyroad9.jpg']",Pembroke Welsh Corgi,100.0,7.0,107.0,1046,64,1110
@manny_the_frenchie,"['@manny_the_frenchie0.jpg', '@manny_the_frenchie1.jpg', '@manny_the_frenchie10.jpg', '@manny_the_frenchie11.jpg', '@manny_the_frenchie2.jpg', '@manny_the_frenchie4.jpg', '@manny_the_frenchie5.jpg', '@manny_the_frenchie6.jpg', '@manny_the_frenchie7.jpg', '@manny_the_frenchie8.jpg', '@manny_the_frenchie9.jpg']","French Bulldog, Boston Terrier, Pug",192.0,10.0,202.0,961,156,1117
@marniethedog,"['@marniethedog0.jpg', '@marniethedog1.jpg', '@marniethedog10.jpg', '@marniethedog11.jpg', '@marniethedog2.jpg', '@marniethedog3.jpg', '@marniethedog4.jpg', '@marniethedog5.jpg', '@marniethedog6.jpg', '@marniethedog7.jpg', '@marniethedog8.jpg', '@marniethedog9.jpg']","Shih Tzu, Pekingese, Lhasa Apso",190.0,14.0,204.0,1046,154,1200
@marutaro,"['@marutaro0.jpg', '@marutaro1.jpg', '@marutaro10.jpg', '@marutaro11.jpg', '@marutaro3.jpg', '@marutaro4.jpg', '@marutaro5.jpg', '@marutaro6.jpg', '@marutaro7.jpg', '@marutaro8.jpg', '@marutaro9.jpg']","Shiba Inu, Akita Inu, Jindo, Finnish Spitz",240.0,16.0,256.0,961,204,1165
@mayapolarbear,"['@mayapolarbear0.jpg', '@mayapolarbear1.jpg', '@mayapolarbear10.jpg', '@mayapolarbear11.jpg', '@mayapolarbear12.jpg', '@mayapolarbear2.jpg', '@mayapolarbear3.jpg', '@mayapolarbear4.jpg', '@mayapolarbear5.jpg', '@mayapolarbear6.jpg', '@mayapolarbear7.jpg', '@mayapolarbear8.jpg', '@mayapolarbear9.jpg']",Error,44.0,1.0,45.0,1131,8,1139
@mayathedox,"['@mayathedox0.jpg', '@mayathedox10.jpg', '@mayathedox12.jpg', '@mayathedox2.jpg', '@mayathedox3.jpg', '@mayathedox4.jpg', '@mayathedox5.jpg', '@mayathedox6.jpg', '@mayathedox7.jpg', '@mayathedox9.jpg']",Dachshund,132.0,4.0,136.0,876,96,972
@mensweardog,"['@mensweardog0.jpg', '@mensweardog1.jpg', '@mensweardog10.jpg', '@mensweardog11.jpg', '@mensweardog2.jpg', '@mensweardog3.jpg', '@mensweardog4.jpg', '@mensweardog5.jpg', '@mensweardog6.jpg', '@mensweardog7.jpg', '@mensweardog8.jpg', '@mensweardog9.jpg']","Shiba Inu, Akita Inu, Finnish Spitz",266.0,13.0,279.0,1046,230,1276
@norbertthedog,"['@norbertthedog0.jpg', '@norbertthedog1.jpg', '@norbertthedog10.jpg', '@norbertthedog11.jpg', '@norbertthedog2.jpg', '@norbertthedog3.jpg', '@norbertthedog4.jpg', '@norbertthedog5.jpg', '@norbertthedog6.jpg', '@norbertthedog7.jpg', '@norbertthedog8.jpg', '@norbertthedog9.jpg']","Maltese, Bichon Frise, Shih Tzu",130.0,14.0,144.0,1046,94,1140
@pavlovthecorgi,"['@pavlovthecorgi0.jpg', '@pavlovthecorgi10.jpg', '@pavlovthecorgi11.jpg', '@pavlovthecorgi2.jpg', '@pavlovthecorgi3.jpg', '@pavlovthecorgi4.jpg', '@pavlovthecorgi5.jpg', '@pavlovthecorgi6.jpg', '@pavlovthecorgi7.jpg', '@pavlovthecorgi8.jpg', '@pavlovthecorgi9.jpg']","Pembroke Welsh Corgi, Cardigan Welsh Corgi, Corgi mix",259.0,19.0,278.0,961,222,1183
@pipperontour,"['@pipperontour0.jpg', '@pipperontour1.jpg', '@pipperontour10.jpg', '@pipperontour11.jpg', '@pipperontour12.jpg', '@pipperontour2.jpg', '@pipperontour4.jpg', '@pipperontour5.jpg', '@pipperontour6.jpg', '@pipperontour7.jpg', '@pipperontour8.jpg', '@pipperontour9.jpg']","Jack Russell Terrier, Parson Russell Terrier, Rat Terrier, Fox Terrier (Smooth)",250.0,21.0,271.0,1046,214,1260
@popeyethefoodie,"['@popeyethefoodie0.jpg', '@popeyethefoodie1.jpg', '@popeyethefoodie10.jpg', '@popeyethefoodie11.jpg', '@popeyethefoodie12.jpg', '@popeyethefoodie13.jpg', '@popeyethefoodie14.jpg', '@popeyethefoodie2.jpg', '@popeyethefoodie3.jpg', '@popeyethefoodie4.jpg', '@popeyethefoodie5.jpg', '@popeyethefoodie6.jpg', '@popeyethefoodie7.jpg', '@popeyethefoodie8.jpg', '@popeyethefoodie9.jpg']","Yorkshire Terrier (Yorkie), Maltese, Shih Tzu",272.0,16.0,288.0,1301,236,1537
@ppteamaria,"['@ppteamaria11.jpg', '@ppteamaria13.jpg', '@ppteamaria2.jpg', '@ppteamaria4.jpg', '@ppteamaria5.jpg', '@ppteamaria8.jpg', '@ppteamaria9.jpg']","Dachshund, Basset Hound, Cocker Spaniel",255.0,14.0,269.0,621,219,840
@ppteamkler,"['@ppteamkler0.jpg', '@ppteamkler1.jpg', '@ppteamkler10.jpg', '@ppteamkler11.jpg', '@ppteamkler2.jpg', '@ppteamkler3.jpg', '@ppteamkler4.jpg', '@ppteamkler5.jpg', '@ppteamkler6.jpg', '@ppteamkler7.jpg', '@ppteamkler8.jpg', '@ppteamkler9.jpg']","Dachshunds, Standard Smooth-haired Dachshund, Miniature Smooth-haired Dachshund, Standard Long-haired Dachshund",249.0,29.0,278.0,1046,213,1259
@reagandoodle,"['@reagandoodle0.jpg', '@reagandoodle1.jpg', '@reagandoodle10.jpg', '@reagandoodle2.jpg', '@reagandoodle3.jpg', '@reagandoodle4.jpg', '@reagandoodle5.jpg', '@reagandoodle6.jpg', '@reagandoodle7.jpg', '@reagandoodle8.jpg', '@reagandoodle9.jpg']","Labradoodles, Labrador Retriever, Poodle, Standard Poodle, Miniature Poodle, Toy Poodle, Goldendoodle, Golden Retriever, Irish Doodle, Irish Setter, Australian Labradoodle, Curly Coat Retriever, English Cocker Spaniel, American Cocker Spaniel",268.0,64.0,332.0,961,232,1193
@rocco_roni,"['@rocco_roni0.jpg', '@rocco_roni1.jpg', '@rocco_roni10.jpg', '@rocco_roni11.jpg', '@rocco_roni2.jpg', '@rocco_roni3.jpg', '@rocco_roni4.jpg', '@rocco_roni5.jpg', '@rocco_roni6.jpg', '@rocco_roni7.jpg', '@rocco_roni8.jpg', '@rocco_roni9.jpg']","Old English Sheepdog, Bearded Collie, South Russian Ovcharka, Polish Lowland Sheepdog",297.0,23.0,320.0,1046,261,1307
@samsonthedood,"['@samsonthedood0.jpg', '@samsonthedood10.jpg', '@samsonthedood11.jpg', '@samsonthedood12.jpg', '@samsonthedood2.jpg', '@samsonthedood7.jpg', '@samsonthedood8.jpg']","Poodle, Labradoodle, Goldendoodle",202.0,10.0,212.0,621,166,787
@siberianhusky_jax,"['@siberianhusky_jax0.jpg', '@siberianhusky_jax1.jpg', '@siberianhusky_jax10.jpg', '@siberianhusky_jax11.jpg', '@siberianhusky_jax12.jpg', '@siberianhusky_jax2.jpg', '@siberianhusky_jax4.jpg', '@siberianhusky_jax5.jpg', '@siberianhusky_jax8.jpg', '@siberianhusky_jax9.jpg']","Siberian Husky, Alaskan Malamute, Samoyed",246.0,15.0,261.0,876,210,1086
@tecuaniventura,"['@tecuaniventura10.jpg', '@tecuaniventura11.jpg', '@tecuaniventura12.jpg', '@tecuaniventura13.jpg', '@tecuaniventura2.jpg', '@tecuaniventura3.jpg', '@tecuaniventura4.jpg', '@tecuaniventura5.jpg', '@tecuaniventura6.jpg', '@tecuaniventura7.jpg', '@tecuaniventura8.jpg', '@tecuaniventura9.jpg']",English Bulldog,98.0,3.0,101.0,1046,62,1108
@thiswildidea,"['@thiswildidea0.jpg', '@thiswildidea11.jpg', '@thiswildidea2.jpg', '@thiswildidea3.jpg', '@thiswildidea4.jpg', '@thiswildidea5.jpg', '@thiswildidea7.jpg', '@thiswildidea8.jpg', '@thiswildidea9.jpg']","Coonhound, Vizsla, Pointer",231.0,9.0,240.0,791,195,986
@tikatheiggy,"['@tikatheiggy0.jpg', '@tikatheiggy1.jpg', '@tikatheiggy10.jpg', '@tikatheiggy12.jpg', '@tikatheiggy13.jpg', '@tikatheiggy2.jpg', '@tikatheiggy3.jpg', '@tikatheiggy5.jpg', '@tikatheiggy6.jpg', '@tikatheiggy7.jpg', '@tikatheiggy8.jpg', '@tikatheiggy9.jpg']","Italian Greyhound, Whippet, Miniature Pinscher",208.0,11.0,219.0,1046,172,1218
@tinkerbellethedog,"['@tinkerbellethedog1.jpg', '@tinkerbellethedog10.jpg', '@tinkerbellethedog11.jpg', '@tinkerbellethedog4.jpg', '@tinkerbellethedog5.jpg', '@tinkerbellethedog6.jpg']","Shih Tzu, Lhasa Apso, Havanese",242.0,14.0,256.0,536,206,742
@toastmeetsworld,"['@toastmeetsworld0.jpg', '@toastmeetsworld1.jpg', '@toastmeetsworld10.jpg', '@toastmeetsworld11.jpg', '@toastmeetsworld2.jpg', '@toastmeetsworld3.jpg', '@toastmeetsworld4.jpg', '@toastmeetsworld5.jpg', '@toastmeetsworld6.jpg', '@toastmeetsworld9.jpg']","Cavalier King Charles Spaniel, English Toy Spaniel, Spaniel-type breed mix",185.0,18.0,203.0,876,149,1025
@tuckerbudzyn,"['@tuckerbudzyn0.jpg', '@tuckerbudzyn1.jpg', '@tuckerbudzyn10.jpg', '@tuckerbudzyn11.jpg', '@tuckerbudzyn3.jpg', '@tuckerbudzyn4.jpg', '@tuckerbudzyn5.jpg', '@tuckerbudzyn6.jpg', '@tuckerbudzyn7.jpg', '@tuckerbudzyn8.jpg', '@tuckerbudzyn9.jpg']","Golden Retriever, Labrador Retriever, Nova Scotia Duck Tolling Retriever",165.0,18.0,183.0,961,129,1090
@tunameltsmyheart,"['@tunameltsmyheart0.jpg', '@tunameltsmyheart1.jpg', '@tunameltsmyheart10.jpg', '@tunameltsmyheart11.jpg', '@tunameltsmyheart2.jpg', '@tunameltsmyheart3.jpg', '@tunameltsmyheart4.jpg', '@tunameltsmyheart5.jpg', '@tunameltsmyheart6.jpg', '@tunameltsmyheart7.jpg', '@tunameltsmyheart8.jpg', '@tunameltsmyheart9.jpg']",Error,47.0,1.0,48.0,1046,11,1057
